OlinkID	UniProt	Assay
OID20049	P16860	NPPB
OID20050	P19429	TNNI3
OID20051	P61978	HNRNPK
OID20052	P17676	CEBPB
OID20053	P08670	VIM
OID20055	P34998	CRHR1
OID20056	Q969D9	TSLP
OID20057	P55082	MFAP3
OID20058	O95988	TCL1B
OID20059	Q9NRD8	DUOX2
OID20061	Q16619	CTF1
OID20062	P17516	AKR1C4
OID20063	Q9NRV9	HEBP1
OID20064	P36952	SERPINB5
OID20066	P34947	GRK5
OID20067	Q96N03	VSTM2L
OID20068	P31483	TIA1
OID20069	Q9Y2B0	CNPY2
OID20070	O43186	CRX
OID20071	O95183	VAMP5
OID20072	Q6UWL2	SUSD1
OID20073	Q9UKL0	RCOR1
OID20074	P01375	TNF
OID20075	P35218	CA5A
OID20076	P51161	FABP6
OID20077	Q15831	STK11
OID20078	O60635	TSPAN1
OID20079	P62736	ACTA2
OID20080	P58546	MTPN
OID20081	O43854	EDIL3
OID20082	Q13105	ZBTB17
OID20083	P21246	PTN
OID20084	O95684	CEP43
OID20085	Q12912	IRAG2
OID20086	P21964	COMT
OID20087	P09237	MMP7
OID20089	Q8TE57	ADAMTS16
OID20090	P55259	GP2
OID20091	Q92558	WASF1
OID20092	Q99549	MPHOSPH8
OID20093	Q8NHS0	DNAJB8
OID20094	Q9H5Y7	SLITRK6
OID20095	O15354	GPR37
OID20096	P20718	GZMH
OID20097	P13807	GYS1
OID20098	P40225	THPO
OID20099	Q8NC01	CLEC1A
OID20100	O75354	ENTPD6
OID20101	P05231	IL6
OID20102	P31997	CEACAM8
OID20103	P25815	S100P
OID20104	O75356	ENTPD5
OID20105	Q9BYF1	ACE2
OID20106	P07585	DCN
OID20107	Q04760	GLO1
OID20108	Q9NWQ8	PAG1
OID20109	Q13444	ADAM15
OID20110	P40818	USP8
OID20112	Q9UKP3	ITGB1BP2
OID20113	P09668	CTSH
OID20114	P46379	BAG6
OID20115	O14793	MSTN
OID20116	Q9BWV1	BOC
OID20117	P08319	ADH4
OID20118	P09496	CLTA
OID20120	Q96A56	TP53INP1
OID20121	Q9Y4X3	CCL27
OID20122	P00568	AK1
OID20123	P09525	ANXA4
OID20124	Q15067	ACOX1
OID20125	NTproBNP	NTproBNP
OID20126	Q05315	CLC
OID20127	Q6PJW8	CNST
OID20128	P48357	LEPR
OID20129	P01222	TSHB
OID20130	P31949	S100A11
OID20131	Q9H7M9	VSIR
OID20132	O14917	PCDH17
OID20133	P16234	PDGFRA
OID20134	Q12864	CDH17
OID20135	Q9Y5X1	SNX9
OID20136	Q16620	NTRK2
OID20137	Q03154	ACY1
OID20138	O60496	DOK2
OID20139	P21549	AGXT
OID20140	Q13043	STK4
OID20141	P21980	TGM2
OID20142	Q9UHL4	DPP7
OID20143	O60664	PLIN3
OID20144	O94903	PLPBP
OID20145	Q9UMF0	ICAM5
OID20146	P10644	PRKAR1A
OID20147	P40189	IL6ST
OID20148	Q9H773	DCTPP1
OID20150	Q53H82	LACTB2
OID20151	Q13158	FADD
OID20152	Q99674	CGREF1
OID20153	P10145	CXCL8
OID20154	P09382	LGALS1
OID20155	Q8WX77	IGFBPL1
OID20156	P41218	MNDA
OID20157	P55285	CDH6
OID20158	Q9UHD0	IL19
OID20159	P16112	ACAN
OID20160	Q9ULL4	PLXNB3
OID20161	Q06418	TYRO3
OID20162	Q13541	EIF4EBP1
OID20163	O75340	PDCD6
OID20164	P51693	APLP1
OID20165	Q9NY25	CLEC5A
OID20166	P08263	GSTA1
OID20167	Q969P0	IGSF8
OID20168	Q16820	MEP1B
OID20169	P18827	SDC1
OID20170	P19022	CDH2
OID20171	Q8NI22	MCFD2
OID20172	Q96LA6	FCRL1
OID20173	Q14956	GPNMB
OID20174	P09417	QDPR
OID20175	Q9UBU3	GHRL
OID20176	P41236	PPP1R2
OID20177	Q9Y5K6	CD2AP
OID20178	O95544	NADK
OID20179	P27352	CBLIF
OID20180	Q9GZM7	TINAGL1
OID20181	Q8WVQ1	CANT1
OID20182	Q8WTU2	SSC4D
OID20183	P78380	OLR1
OID20184	Q9NR28	DIABLO
OID20185	Q86VZ4	LRP11
OID20186	Q13275	SEMA3F
OID20187	P41159	LEP
OID20188	P06858	LPL
OID20189	Q8IZP9	ADGRG2
OID20190	Q9Y286	SIGLEC7
OID20191	O95502	NPTXR
OID20192	O75791	GRAP2
OID20193	Q9HBB8	CDHR5
OID20194	P52888	THOP1
OID20195	P35754	GLRX
OID20196	P21583	KITLG
OID20197	Q9UKJ0	PILRB
OID20198	Q15846	CLUL1
OID20200	P12104	FABP2
OID20201	P00797	REN
OID20202	Q9UK05	GDF2
OID20203	P12724	RNASE3
OID20204	Q9BQB4	SOST
OID20205	Q9NQX5	NPDC1
OID20206	Q07108	CD69
OID20207	P42830	CXCL5
OID20208	P02462	COL4A1
OID20209	A6NI73	LILRA5
OID20210	Q9UEW3	MARCO
OID20211	O95841	ANGPTL1
OID20212	Q9BQR3	PRSS27
OID20213	Q99523	SORT1
OID20214	P35247	SFTPD
OID20215	P20711	DDC
OID20216	P31431	SDC4
OID20217	P09601	HMOX1
OID20218	O00161	SNAP23
OID20220	P01241	GH1
OID20221	Q9BUD6	SPON2
OID20222	Q92692	NECTIN2
OID20223	Q6WN34	CHRDL2
OID20224	Q01973	ROR1
OID20225	Q8N1Q1	CA13
OID20226	Q76M96	CCDC80
OID20227	P09467	FBP1
OID20228	P07711	CTSL
OID20229	Q92823	NRCAM
